"site_id","year","month","day","location","salt","temp","salmon_captured","salmon_examined","pink_examined","chum_examined","sockeye_examined","morts_recovery","morts_other","P_ratio","C_ratio","latitude","longitude","bycatch","notes","coho_examined"
71,2003,5,7,"Wicklow",31,10.7,NA,20,8,12,0,NA,NA,NA,NA,"","","","",NA
72,2003,5,15,"Glacier",31,10.1,NA,20,15,5,0,NA,NA,NA,NA,"","","","",NA
73,2003,5,16,"Burdwood",30,9.8,NA,17,10,7,0,NA,NA,NA,NA,"","","","",NA
74,2003,5,17,"Wicklow",31,9.8,NA,20,11,9,0,NA,NA,NA,NA,"","","","",NA
75,2003,5,21,"Burdwood",32,10.2,NA,20,14,6,0,NA,NA,NA,NA,"","","","",NA
76,2003,5,21,"Glacier",32,10.2,NA,22,22,0,0,NA,NA,NA,NA,"","","","",NA
77,2003,5,21,"Wicklow",31,10.3,NA,20,13,7,0,NA,NA,NA,NA,"","","","",NA
78,2003,5,29,"Burdwood",32,10.2,NA,20,10,10,0,NA,NA,NA,NA,"","","","",NA
79,2003,5,29,"Glacier",32,10,NA,19,18,1,0,NA,NA,NA,NA,"","","","",NA
80,2003,5,31,"Wicklow",28,11,NA,20,11,9,0,NA,NA,NA,NA,"","","","",NA
81,2003,6,3,"Glacier",29,12,NA,23,14,9,0,NA,NA,NA,NA,"","","","",NA
82,2003,6,4,"Burdwood",30,11,NA,21,9,12,0,NA,NA,NA,NA,"","","","",NA
83,2003,6,4,"Wicklow",29,11.3,NA,22,12,10,0,NA,NA,NA,NA,"","","","",NA
84,2004,3,10,"Burdwood",33,8.3,NA,32,0,32,0,NA,NA,NA,NA,"","","","",NA
85,2004,3,10,"Glacier",34,8.5,NA,27,4,23,0,NA,NA,NA,NA,"","","","",NA
86,2004,3,19,"Burdwood",33,8.5,NA,28,2,26,0,NA,NA,NA,NA,"","","","",NA
87,2004,3,19,"Glacier",34,8.4,NA,31,17,14,0,NA,NA,NA,NA,"","","","",NA
88,2004,3,19,"Wicklow",33,8.5,NA,3,0,3,0,NA,NA,NA,NA,"","","","",NA
89,2004,3,22,"Burdwood",31,8.7,NA,30,1,29,0,NA,NA,NA,NA,"","","","",NA
90,2004,3,22,"Wicklow",33,8.6,NA,22,0,22,0,NA,NA,NA,NA,"","","","",NA
91,2004,3,24,"Glacier",32,8.7,NA,30,25,5,0,NA,NA,NA,NA,"","","","",NA
92,2004,4,1,"Burdwood",30,9,NA,21,1,20,0,NA,NA,NA,NA,"","","","",NA
93,2004,4,1,"Glacier",28,9.7,NA,14,9,5,0,NA,NA,NA,NA,"","","","",NA
94,2004,4,5,"Glacier",30,8.5,NA,30,28,2,0,NA,NA,NA,NA,"","","","",NA
95,2004,4,14,"Burdwood",26,10.5,NA,21,9,12,0,NA,NA,NA,NA,"","","","",NA
96,2004,4,14,"Glacier",30,9.8,NA,22,16,6,0,NA,NA,NA,NA,"","","","",NA
97,2004,4,24,"Burdwood",29,10.5,NA,31,8,23,0,NA,NA,NA,NA,"","","","",NA
98,2004,4,24,"Glacier",30,9.5,NA,30,21,9,0,NA,NA,NA,NA,"","","","",NA
99,2004,4,25,"Wicklow",29,10.5,NA,29,19,10,0,NA,NA,NA,NA,"","","","",NA
100,2004,4,30,"Burdwood",30,12.4,NA,28,6,22,0,NA,NA,NA,NA,"","","","",NA
101,2004,4,30,"Glacier",30,11.9,NA,32,31,1,0,NA,NA,NA,NA,"","","","",NA
102,2004,5,1,"Wicklow",33,10.9,NA,11,3,8,0,NA,NA,NA,NA,"","","","",NA
103,2004,5,6,"Glacier",30,10.2,NA,28,24,4,0,NA,NA,NA,NA,"","","","",NA
104,2004,5,7,"Burdwood",27,11.7,NA,30,5,25,0,NA,NA,NA,NA,"","","","",NA
105,2004,5,7,"Wicklow",30,11.7,NA,22,15,7,0,NA,NA,NA,NA,"","","","",NA
106,2004,5,11,"Glacier",29,10.7,NA,29,29,0,0,NA,NA,NA,NA,"","","","",NA
107,2004,5,14,"Burdwood",30,13.5,NA,39,1,38,0,NA,NA,NA,NA,"","","","",NA
108,2004,5,15,"Wicklow",30,10.7,NA,5,0,5,0,NA,NA,NA,NA,"","","","",NA
109,2004,5,19,"Burdwood",31,15.4,NA,4,2,2,0,NA,NA,NA,NA,"","","","",NA
110,2004,5,19,"Glacier",29,10.9,NA,26,22,4,0,NA,NA,NA,NA,"","","","",NA
111,2004,5,22,"Burdwood",31,15.4,NA,27,13,14,0,NA,NA,NA,NA,"","","","",NA
112,2004,5,24,"Burdwood",30,13.5,NA,31,7,24,0,NA,NA,NA,NA,"","","","",NA
113,2004,5,24,"Glacier",29,11.2,NA,29,29,0,0,NA,NA,NA,NA,"","","","",NA
114,2004,5,25,"Wicklow",35,11.3,NA,29,23,6,0,NA,NA,NA,NA,"","","","",NA
115,2004,5,30,"Wicklow",31,14.4,NA,27,20,7,0,NA,NA,NA,NA,"","","","",NA
116,2004,6,2,"Glacier",31,10.5,NA,30,7,23,0,NA,NA,NA,NA,"","","","",NA
117,2004,6,2,"Wicklow",31,15,NA,31,26,5,0,NA,NA,NA,NA,"","","","",NA
118,2004,6,4,"Burdwood",27,14,NA,33,5,28,0,NA,NA,NA,NA,"","","","",NA
119,2004,6,5,"Burdwood",32,9.1,NA,30,3,27,0,NA,NA,NA,NA,"","","","",NA
120,2004,6,11,"Glacier",34,11.4,NA,32,17,15,0,NA,NA,NA,NA,"","","","",NA
121,2004,6,13,"Burdwood",34,11.6,NA,28,8,20,0,NA,NA,NA,NA,"","","","",NA
122,2004,6,13,"Wicklow",35,10.7,NA,29,22,7,0,NA,NA,NA,NA,"","","","",NA
123,2004,6,17,"Glacier",30,16,NA,24,23,1,0,NA,NA,NA,NA,"","","","",NA
124,2004,6,18,"Burdwood",29,16,NA,34,33,1,0,NA,NA,NA,NA,"","","","",NA
125,2004,6,19,"Wicklow",30,14,NA,18,12,6,0,NA,NA,NA,NA,"","","","",NA
126,2005,2,28,"Burdwood",32,8,NA,15,7,8,0,NA,NA,NA,NA,"","","","",NA
127,2005,3,7,"Burdwood",29,9,NA,27,27,0,0,NA,NA,NA,NA,"","","","",NA
128,2005,3,7,"Glacier",30,8,NA,40,40,0,0,NA,NA,NA,NA,"","","","",NA
129,2005,3,16,"Burdwood",30,8,NA,50,48,2,0,NA,NA,NA,NA,"","","","",NA
130,2005,3,16,"Glacier",NA,NA,NA,49,47,2,0,NA,NA,NA,NA,"","","","",NA
131,2005,3,22,"Glacier",30,8,NA,50,49,1,0,NA,NA,NA,NA,"","","","",NA
132,2005,3,23,"Burdwood",30,8,NA,37,32,5,0,NA,NA,NA,NA,"","","","",NA
133,2005,3,23,"Wicklow",30,9,NA,48,45,3,0,NA,NA,NA,NA,"","","","",NA
134,2005,3,28,"Burdwood",32,8.5,NA,50,50,0,0,NA,NA,NA,NA,"","","","",NA
135,2005,3,28,"Glacier",30,8.5,NA,51,51,0,0,NA,NA,NA,NA,"","","","",NA
136,2005,3,30,"Wicklow",31,8.5,NA,45,42,3,0,NA,NA,NA,NA,"","","","",NA
137,2005,4,4,"Burdwood",31,8,NA,48,46,2,0,NA,NA,NA,NA,"","","","",NA
138,2005,4,4,"Glacier",30.5,7,NA,50,49,1,0,NA,NA,NA,NA,"","","","",NA
139,2005,4,4,"Wicklow",31.5,8.5,NA,51,49,2,0,NA,NA,NA,NA,"","","","",NA
140,2005,4,11,"Burdwood",31,8,NA,51,51,0,0,NA,NA,NA,NA,"","","","",NA
141,2005,4,11,"Glacier",31,8,NA,52,52,0,0,NA,NA,NA,NA,"","","","",NA
142,2005,4,11,"Wicklow",31,8,NA,51,51,0,0,NA,NA,NA,NA,"","","","",NA
143,2005,4,18,"Burdwood",31,8.7,NA,49,47,2,0,NA,NA,NA,NA,"","","","",NA
144,2005,4,18,"Glacier",31,9.3,NA,50,49,1,0,NA,NA,NA,NA,"","","","",NA
145,2005,4,19,"Wicklow",NA,NA,NA,50,45,5,0,NA,NA,NA,NA,"","","","",NA
146,2005,4,25,"Burdwood",30,10,NA,47,46,1,0,NA,NA,NA,NA,"","","","",NA
147,2005,4,25,"Glacier",32,9.5,NA,51,51,0,0,NA,NA,NA,NA,"","","","",NA
148,2005,4,25,"Wicklow",32,8.8,NA,51,51,0,0,NA,NA,NA,NA,"","","","",NA
149,2005,5,2,"Burdwood",NA,NA,NA,52,51,1,0,NA,NA,NA,NA,"","","","",NA
150,2005,5,2,"Glacier",28,10.8,NA,53,52,1,0,NA,NA,NA,NA,"","","","",NA
151,2005,5,2,"Wicklow",NA,NA,NA,51,50,1,0,NA,NA,NA,NA,"","","","",NA
152,2005,5,10,"Burdwood",30,12,NA,51,51,0,0,NA,NA,NA,NA,"","","","",NA
153,2005,5,10,"Glacier",30,10,NA,52,52,0,0,NA,NA,NA,NA,"","","","",NA
154,2005,5,10,"Wicklow",30,12,NA,48,48,0,0,NA,NA,NA,NA,"","","","",NA
155,2005,5,16,"Burdwood",26,12,NA,48,47,1,0,NA,NA,NA,NA,"","","","",NA
156,2005,5,16,"Glacier",21,12,NA,50,47,3,0,NA,NA,NA,NA,"","","","",NA
157,2005,5,16,"Wicklow",25,13,NA,45,43,2,0,NA,NA,NA,NA,"","","","",NA
158,2005,5,23,"Burdwood",NA,NA,NA,53,49,4,0,NA,NA,NA,NA,"","","","",NA
159,2005,5,23,"Glacier",26,10,NA,48,41,7,0,NA,NA,NA,NA,"","","","",NA
160,2005,5,23,"Wicklow",NA,NA,NA,50,50,0,0,NA,NA,NA,NA,"","","","",NA
161,2005,5,30,"Burdwood",NA,NA,NA,50,49,1,0,NA,NA,NA,NA,"","","","",NA
162,2005,5,30,"Wicklow",NA,NA,NA,55,54,1,0,NA,NA,NA,NA,"","","","",NA
163,2005,6,6,"Burdwood",NA,NA,NA,44,43,1,0,NA,NA,NA,NA,"","","","",NA
164,2005,6,6,"Wicklow",NA,NA,NA,53,52,1,0,NA,NA,NA,NA,"","","","",NA
165,2005,6,14,"Burdwood",NA,NA,NA,48,48,0,0,NA,NA,NA,NA,"","","","",NA
166,2005,6,14,"Wicklow",NA,NA,NA,49,45,4,0,NA,NA,NA,NA,"","","","",NA
167,2005,6,15,"Glacier",NA,NA,NA,24,24,0,0,NA,NA,NA,NA,"","","","",NA
168,2005,6,20,"Burdwood",NA,NA,NA,51,51,0,0,NA,NA,NA,NA,"","","","",NA
169,2005,6,20,"Wicklow",NA,NA,NA,46,45,1,0,NA,NA,NA,NA,"","","","",NA
170,2006,3,10,"Burdwood",31,6.5,NA,29,20,9,0,NA,NA,NA,NA,"","","","",NA
171,2006,3,10,"Glacier",31,7.5,NA,29,20,9,0,NA,NA,NA,NA,"","","","",NA
172,2006,3,25,"Burdwood",31,7,NA,8,7,1,0,NA,NA,NA,NA,"","","","",NA
173,2006,3,25,"Glacier",28,7,NA,68,64,4,0,NA,NA,NA,NA,"","","","",NA
174,2006,3,28,"Burdwood",30,7.5,NA,100,88,12,0,NA,NA,NA,NA,"","","","",NA
175,2006,3,29,"Glacier",32,7,NA,50,30,20,0,NA,NA,NA,NA,"","","","",NA
176,2006,4,3,"Burdwood",32,8.36,NA,75,18,57,0,NA,NA,NA,NA,"","","","",NA
177,2006,4,4,"Glacier",30,8.5,NA,35,28,7,0,NA,NA,NA,NA,"","","","",NA
178,2006,4,5,"Wicklow",29,8,NA,26,22,4,0,NA,NA,NA,NA,"","","","",NA
179,2006,4,7,"Glacier",33,9,NA,55,31,24,0,NA,NA,NA,NA,"","","","",NA
180,2006,4,8,"Burdwood",32,8,NA,54,28,26,0,NA,NA,NA,NA,"","","","",NA
181,2006,4,14,"Burdwood",30.5,8,NA,112,40,72,0,NA,NA,NA,NA,"","","","",NA
182,2006,4,17,"Wicklow",NA,NA,NA,7,3,4,0,NA,NA,NA,NA,"","","","",NA
183,2006,4,22,"Burdwood",30,NA,NA,50,3,47,0,NA,NA,NA,NA,"","","","",NA
184,2006,4,22,"Glacier",NA,NA,NA,50,40,10,0,NA,NA,NA,NA,"","","","",NA
185,2006,4,25,"Wicklow",31,8.7,NA,40,3,37,0,NA,NA,NA,NA,"","","","",NA
186,2006,4,27,"Burdwood",30.5,8.5,NA,50,30,20,0,NA,NA,NA,NA,"","","","",NA
187,2006,4,28,"Glacier",30,8.4,NA,50,35,15,0,NA,NA,NA,NA,"","","","",NA
188,2006,5,3,"Wicklow",NA,9,NA,28,12,16,0,NA,NA,NA,NA,"","","","",NA
189,2006,5,4,"Burdwood",28,11,NA,50,9,41,0,NA,NA,NA,NA,"","","","",NA
190,2006,5,4,"Glacier",29,8.9,NA,50,45,5,0,NA,NA,NA,NA,"","","","",NA
191,2006,5,10,"Glacier",NA,10.34,NA,50,38,12,0,NA,NA,NA,NA,"","","","",NA
192,2006,5,11,"Burdwood",24,10.75,NA,50,6,44,0,NA,NA,NA,NA,"","","","",NA
193,2006,5,15,"Wicklow",33,10,NA,50,22,28,0,NA,NA,NA,NA,"","","","",NA
194,2006,5,18,"Glacier",30,12.5,NA,50,35,15,0,NA,NA,NA,NA,"","","","",NA
195,2006,5,19,"Burdwood",26.5,13.1,NA,49,6,43,0,NA,NA,NA,NA,"","","","",NA
196,2006,5,22,"Wicklow",29,11.25,NA,50,28,22,0,NA,NA,NA,NA,"","","","",NA
197,2006,5,25,"Burdwood",26.5,10.75,NA,40,0,40,0,NA,NA,NA,NA,"","","","",NA
198,2006,5,27,"Glacier",30,10,NA,50,10,40,0,NA,NA,NA,NA,"","","","",NA
199,2006,5,29,"Wicklow",32,11.25,NA,50,11,39,0,NA,NA,NA,NA,"","","","",NA
200,2006,6,2,"Burdwood",26,12.5,NA,46,5,41,0,NA,NA,NA,NA,"","","","",NA
201,2006,6,2,"Glacier",23,12,NA,50,38,12,0,NA,NA,NA,NA,"","","","",NA
202,2006,6,6,"Wicklow",24,12.5,NA,42,25,17,0,NA,NA,NA,NA,"","","","",NA
203,2006,6,9,"Glacier",25,12,NA,49,35,14,0,NA,NA,NA,NA,"","","","",NA
204,2006,6,12,"Wicklow",27,12,NA,16,1,15,0,NA,NA,NA,NA,"","","","",NA
205,2006,6,17,"Burdwood",25,12.8,NA,50,7,43,0,NA,NA,NA,NA,"","","","",NA
206,2007,3,26,"Glacier",31,7.7,NA,104,60,44,0,NA,NA,NA,NA,"","","","",NA
207,2007,4,7,"Burdwood",30,8.3,NA,100,56,44,0,NA,NA,NA,NA,"","","","",NA
208,2007,4,17,"Wicklow",30,7.75,NA,100,81,19,0,NA,NA,NA,NA,"","","","",NA
209,2007,4,18,"Glacier",NA,NA,NA,100,96,4,0,NA,NA,NA,NA,"","","","",NA
210,2007,4,24,"Burdwood",32,8.4,NA,51,51,0,0,NA,NA,NA,NA,"","","","",NA
211,2007,4,26,"Wicklow",33,8.4,NA,99,53,46,0,NA,NA,NA,NA,"","","","",NA
212,2007,4,28,"Glacier",NA,NA,NA,100,92,8,0,NA,NA,NA,NA,"","","","",NA
213,2007,5,2,"Burdwood",NA,NA,NA,100,90,10,0,NA,NA,NA,NA,"","","","",NA
214,2007,5,4,"Wicklow",NA,NA,NA,100,87,13,0,NA,NA,NA,NA,"","","","",NA
215,2007,5,10,"Burdwood",21,10,NA,100,53,47,0,NA,NA,NA,NA,"","","","",NA
216,2007,5,10,"Glacier",NA,NA,NA,100,95,5,0,NA,NA,NA,NA,"","","","",NA
217,2007,5,11,"Wicklow",25,11.5,NA,100,79,21,0,NA,NA,NA,NA,"","","","",NA
218,2007,5,15,"Burdwood",NA,NA,NA,100,81,19,0,NA,NA,NA,NA,"","","","",NA
219,2007,5,15,"Wicklow",32,9,NA,98,98,0,0,NA,NA,NA,NA,"","","","",NA
220,2007,5,17,"Glacier",NA,NA,NA,100,66,34,0,NA,NA,NA,NA,"","","","",NA
221,2007,5,23,"Burdwood",NA,NA,NA,100,89,11,0,NA,NA,NA,NA,"","","","",NA
222,2007,5,23,"Glacier",NA,NA,NA,98,74,24,0,NA,NA,NA,NA,"","","","",NA
223,2008,3,27,"Glacier",31,7,NA,29,16,13,0,NA,NA,NA,NA,"","","","",NA
224,2008,4,3,"Glacier",31,6.9,NA,92,74,18,0,NA,NA,NA,NA,"","","","",NA
225,2008,4,9,"Glacier",30,7,NA,100,99,1,0,NA,NA,NA,NA,"","","","",NA
226,2008,4,24,"Burdwood",30,8,NA,77,29,48,0,NA,NA,NA,NA,"","","","",NA
227,2008,4,24,"Glacier",30,7.5,NA,100,99,1,0,NA,NA,NA,NA,"","","","",NA
228,2008,5,10,"Glacier",24,10.5,NA,50,15,35,0,NA,NA,NA,NA,"","","","",NA
229,2008,5,17,"Glacier",27,27,NA,50,50,0,0,NA,NA,NA,NA,"","","","",NA
230,2008,5,24,"Glacier",9,27,NA,100,99,1,0,NA,NA,NA,NA,"","","","",NA
231,2008,5,24,"Wicklow",27,12,NA,100,87,13,0,NA,NA,NA,NA,"","","","",NA
232,2008,5,25,"Burdwood",25,10.5,NA,100,93,7,0,NA,NA,NA,NA,"","","","",NA
233,2008,5,28,"Burdwood",26,10,NA,34,33,1,0,NA,NA,NA,NA,"","","","",NA
234,2008,5,28,"Glacier",28,12.5,NA,98,93,5,0,NA,NA,NA,NA,"","","","",NA
235,2008,5,30,"Wicklow",23,12,NA,101,98,3,0,NA,NA,NA,NA,"","","","",NA
236,2008,6,5,"Burdwood",20,10,NA,96,87,9,0,NA,NA,NA,NA,"","","","",NA
237,2008,6,8,"Glacier",0,0,NA,100,91,9,0,NA,NA,NA,NA,"","","","",NA
238,2008,6,8,"Wicklow",28,9,NA,48,46,2,0,NA,NA,NA,NA,"","","","",NA
239,2008,6,15,"Wicklow",0,0,NA,100,98,2,0,NA,NA,NA,NA,"","","","",NA
240,2008,6,21,"Burdwood",23,10.5,NA,31,29,2,0,NA,NA,NA,NA,"","","","",NA
241,2008,6,21,"Glacier",23,11,NA,94,87,7,0,NA,NA,NA,NA,"","","","",NA
242,2008,6,23,"Wicklow",26,11,NA,13,11,2,0,NA,NA,NA,NA,"","","","",NA
243,2008,6,24,"Burdwood",20,13.5,NA,72,71,1,0,NA,NA,NA,NA,"","","","",NA
244,2008,6,24,"Glacier",20,12.5,NA,100,99,1,0,NA,NA,NA,NA,"","","","",NA
245,2008,6,28,"Wicklow",24,13,NA,100,100,0,0,NA,NA,NA,NA,"","","","",NA
246,2008,7,3,"Wicklow",0,0,NA,83,80,3,0,NA,NA,NA,NA,"","","","",NA
247,2008,7,4,"Wicklow",30,10.5,NA,100,89,11,0,NA,NA,NA,NA,"","","","",NA
248,2008,7,5,"Burdwood",25,11.5,NA,100,87,13,0,NA,NA,NA,NA,"","","","",NA
249,2008,7,18,"Glacier",25,13,NA,66,59,7,0,NA,NA,NA,NA,"","","","",NA
250,2008,7,19,"Wicklow",25,12,NA,100,94,6,0,NA,NA,NA,NA,"","","","",NA
251,2008,7,23,"Wicklow",26,0,NA,72,36,36,0,NA,NA,NA,NA,"","","","",NA
252,2008,7,31,"Glacier",24,11,NA,39,26,13,0,NA,NA,NA,NA,"","","","",NA
253,2009,5,11,"Burdwood",28,NA,NA,104,49,55,0,NA,NA,NA,NA,"","","","",NA
254,2009,5,11,"Glacier",28,NA,NA,100,91,9,0,NA,NA,NA,NA,"","","","",NA
255,2009,5,11,"Wicklow",20,NA,NA,100,72,28,0,NA,NA,NA,NA,"","","","",NA
256,2009,5,19,"Burdwood",32,9,NA,100,58,42,0,NA,NA,NA,NA,"","","","",NA
257,2009,5,19,"Glacier",31,9,NA,100,77,23,0,NA,NA,NA,NA,"","","","",NA
258,2009,5,19,"Wicklow",31,9,NA,99,49,50,0,NA,NA,NA,NA,"","","","",NA
259,2009,5,24,"Burdwood",29,NA,NA,100,25,75,0,NA,NA,NA,NA,"","","","",NA
260,2009,5,24,"Glacier",29,NA,NA,100,79,21,0,NA,NA,NA,NA,"","","","",NA
261,2009,5,24,"Wicklow",30,NA,NA,99,40,58,0,NA,NA,NA,NA,"","","","",NA
262,2009,5,30,"Wicklow",30,NA,NA,80,50,30,0,NA,NA,NA,NA,"","","","",NA
263,2009,6,1,"Burdwood",25,NA,NA,100,50,50,0,NA,NA,NA,NA,"","","","",NA
264,2009,6,2,"Glacier",30,11.5,NA,94,50,44,0,NA,NA,NA,NA,"","","","",NA
