site_id,year,month,day,location,salt,temp,salmon_captured,salmon_examined,pink_examined,chum_examined,morts_recovery,morts_other,P_ratio,C_ratio,latitude,longitude,bycatch,notes
59,2003,4,12,Glacier,30,9.2,,18,13,5,,,,,,,,
60,2003,4,16,Burdwood,25,9.2,,22,3,19,,,,,,,,
61,2003,4,16,Glacier,25,9.2,,20,19,1,,,,,,,,
62,2003,4,17,Wicklow,32,9.3,,20,9,11,,,,,,,,
63,2003,4,21,Burdwood,30,9.6,,19,6,13,,,,,,,,
64,2003,4,21,Glacier,30,9.2,,20,18,2,,,,,,,,
65,2003,4,24,Wicklow,31,9.3,,20,10,10,,,,,,,,
66,2003,4,28,Wicklow,30,10.7,,20,14,6,,,,,,,,
67,2003,4,30,Burdwood,28,11.1,,20,13,7,,,,,,,,
68,2003,4,30,Glacier,30,10.6,,20,19,1,,,,,,,,
69,2003,5,5,Burdwood,26,10.7,,18,18,0,,,,,,,,
70,2003,5,7,Glacier,25,11.2,,19,14,5,,,,,,,,
71,2003,5,7,Wicklow,31,10.7,,20,8,12,,,,,,,,
72,2003,5,15,Glacier,31,10.1,,20,15,5,,,,,,,,
73,2003,5,16,Burdwood,30,9.8,,17,10,7,,,,,,,,
74,2003,5,17,Wicklow,31,9.8,,20,11,9,,,,,,,,
75,2003,5,21,Burdwood,32,10.2,,20,14,6,,,,,,,,
76,2003,5,21,Glacier,32,10.2,,22,22,0,,,,,,,,
77,2003,5,21,Wicklow,31,10.3,,20,13,7,,,,,,,,
78,2003,5,29,Burdwood,32,10.2,,20,10,10,,,,,,,,
79,2003,5,29,Glacier,32,10,,19,18,1,,,,,,,,
80,2003,5,31,Wicklow,28,11,,20,11,9,,,,,,,,
81,2003,6,3,Glacier,29,12,,23,14,9,,,,,,,,
82,2003,6,4,Burdwood,30,11,,21,9,12,,,,,,,,
83,2003,6,4,Wicklow,29,11.3,,22,12,10,,,,,,,,
84,2004,3,10,Burdwood,33,8.3,,32,0,32,,,,,,,,
85,2004,3,10,Glacier,34,8.5,,27,4,23,,,,,,,,
86,2004,3,19,Burdwood,33,8.5,,28,2,26,,,,,,,,
87,2004,3,19,Glacier,34,8.4,,31,17,14,,,,,,,,
88,2004,3,19,Wicklow,33,8.5,,3,0,3,,,,,,,,
89,2004,3,22,Burdwood,31,8.7,,30,1,29,,,,,,,,
90,2004,3,22,Wicklow,33,8.6,,22,0,22,,,,,,,,
91,2004,3,24,Glacier,32,8.7,,30,25,5,,,,,,,,
92,2004,4,1,Burdwood,30,9,,21,1,20,,,,,,,,
93,2004,4,1,Glacier,28,9.7,,14,9,5,,,,,,,,
94,2004,4,5,Glacier,30,8.5,,30,28,2,,,,,,,,
95,2004,4,14,Burdwood,26,10.5,,21,9,12,,,,,,,,
96,2004,4,14,Glacier,30,9.8,,22,16,6,,,,,,,,
97,2004,4,24,Burdwood,29,10.5,,31,8,23,,,,,,,,
98,2004,4,24,Glacier,30,9.5,,30,21,9,,,,,,,,
99,2004,4,25,Wicklow,29,10.5,,29,19,10,,,,,,,,
100,2004,4,30,Burdwood,30,12.4,,28,6,22,,,,,,,,
101,2004,4,30,Glacier,30,11.9,,32,31,1,,,,,,,,
102,2004,5,1,Wicklow,33,10.9,,11,3,8,,,,,,,,
103,2004,5,6,Glacier,30,10.2,,28,24,4,,,,,,,,
104,2004,5,7,Burdwood,27,11.7,,30,5,25,,,,,,,,
105,2004,5,7,Wicklow,30,11.7,,22,15,7,,,,,,,,
106,2004,5,11,Glacier,29,10.7,,29,29,0,,,,,,,,
107,2004,5,14,Burdwood,30,13.5,,39,1,38,,,,,,,,
108,2004,5,15,Wicklow,30,10.7,,5,0,5,,,,,,,,
109,2004,5,19,Burdwood,31,15.4,,4,2,2,,,,,,,,
110,2004,5,19,Glacier,29,10.9,,26,22,4,,,,,,,,
111,2004,5,22,Burdwood,31,15.4,,27,13,14,,,,,,,,
112,2004,5,24,Burdwood,30,13.5,,31,7,24,,,,,,,,
113,2004,5,24,Glacier,29,11.2,,29,29,0,,,,,,,,
114,2004,5,25,Wicklow,35,11.3,,29,23,6,,,,,,,,
115,2004,5,30,Wicklow,31,14.4,,27,20,7,,,,,,,,
116,2004,6,2,Glacier,31,10.5,,30,7,23,,,,,,,,
117,2004,6,2,Wicklow,31,15,,31,26,5,,,,,,,,
118,2004,6,4,Burdwood,27,14,,33,5,28,,,,,,,,
119,2004,6,5,Burdwood,32,9.1,,30,3,27,,,,,,,,
120,2004,6,11,Glacier,34,11.4,,32,17,15,,,,,,,,
121,2004,6,13,Burdwood,34,11.6,,28,8,20,,,,,,,,
122,2004,6,13,Wicklow,35,10.7,,29,22,7,,,,,,,,
123,2004,6,17,Glacier,30,16,,24,23,1,,,,,,,,
124,2004,6,18,Burdwood,29,16,,34,33,1,,,,,,,,
125,2004,6,19,Wicklow,30,14,,18,12,6,,,,,,,,
126,2005,2,28,Burdwood,32,8,,15,7,8,,,,,,,,
127,2005,3,7,Burdwood,29,9,,27,27,0,,,,,,,,
128,2005,3,7,Glacier,30,8,,40,40,0,,,,,,,,
129,2005,3,16,Burdwood,30,8,,50,48,2,,,,,,,,
130,2005,3,16,Glacier,,,,49,47,2,,,,,,,,
131,2005,3,22,Glacier,30,8,,50,49,1,,,,,,,,
132,2005,3,23,Burdwood,30,8,,37,32,5,,,,,,,,
133,2005,3,23,Wicklow,30,9,,48,45,3,,,,,,,,
134,2005,3,28,Burdwood,32,8.5,,50,50,0,,,,,,,,
135,2005,3,28,Glacier,30,8.5,,51,51,0,,,,,,,,
136,2005,3,30,Wicklow,31,8.5,,45,42,3,,,,,,,,
137,2005,4,4,Burdwood,31,8,,48,46,2,,,,,,,,
138,2005,4,4,Glacier,30.5,7,,50,49,1,,,,,,,,
139,2005,4,4,Wicklow,31.5,8.5,,51,49,2,,,,,,,,
140,2005,4,11,Burdwood,31,8,,51,51,0,,,,,,,,
141,2005,4,11,Glacier,31,8,,52,52,0,,,,,,,,
142,2005,4,11,Wicklow,31,8,,51,51,0,,,,,,,,
143,2005,4,18,Burdwood,31,8.7,,49,47,2,,,,,,,,
144,2005,4,18,Glacier,31,9.3,,50,49,1,,,,,,,,
145,2005,4,19,Wicklow,,,,50,45,5,,,,,,,,
146,2005,4,25,Burdwood,30,10,,47,46,1,,,,,,,,
147,2005,4,25,Glacier,32,9.5,,51,51,0,,,,,,,,
148,2005,4,25,Wicklow,32,8.8,,51,51,0,,,,,,,,
149,2005,5,2,Burdwood,,,,52,51,1,,,,,,,,
150,2005,5,2,Glacier,28,10.8,,53,52,1,,,,,,,,
151,2005,5,2,Wicklow,,,,51,50,1,,,,,,,,
152,2005,5,10,Burdwood,30,12,,51,51,0,,,,,,,,
153,2005,5,10,Glacier,30,10,,52,52,0,,,,,,,,
154,2005,5,10,Wicklow,30,12,,48,48,0,,,,,,,,
155,2005,5,16,Burdwood,26,12,,48,47,1,,,,,,,,
156,2005,5,16,Glacier,21,12,,50,47,3,,,,,,,,
157,2005,5,16,Wicklow,25,13,,45,43,2,,,,,,,,
158,2005,5,23,Burdwood,,,,53,49,4,,,,,,,,
159,2005,5,23,Glacier,26,10,,48,41,7,,,,,,,,
160,2005,5,23,Wicklow,,,,50,50,0,,,,,,,,
161,2005,5,30,Burdwood,,,,50,49,1,,,,,,,,
162,2005,5,30,Wicklow,,,,55,54,1,,,,,,,,
163,2005,6,6,Burdwood,,,,44,43,1,,,,,,,,
164,2005,6,6,Wicklow,,,,53,52,1,,,,,,,,
165,2005,6,14,Burdwood,,,,48,48,0,,,,,,,,
166,2005,6,14,Wicklow,,,,49,45,4,,,,,,,,
167,2005,6,15,Glacier,,,,24,24,0,,,,,,,,
168,2005,6,20,Burdwood,,,,51,51,0,,,,,,,,
169,2005,6,20,Wicklow,,,,46,45,1,,,,,,,,
170,2006,3,10,Burdwood,31,6.5,,29,20,9,,,,,,,,
171,2006,3,10,Glacier,31,7.5,,29,20,9,,,,,,,,
172,2006,3,25,Burdwood,31,7,,8,7,1,,,,,,,,
173,2006,3,25,Glacier,28,7,,68,64,4,,,,,,,,
174,2006,3,28,Burdwood,30,7.5,,100,88,12,,,,,,,,
175,2006,3,29,Glacier,32,7,,50,30,20,,,,,,,,
176,2006,4,3,Burdwood,32,8.36,,75,18,57,,,,,,,,
177,2006,4,4,Glacier,30,8.5,,35,28,7,,,,,,,,
178,2006,4,5,Wicklow,29,8,,26,22,4,,,,,,,,
179,2006,4,7,Glacier,33,9,,55,31,24,,,,,,,,
180,2006,4,8,Burdwood,32,8,,54,28,26,,,,,,,,
181,2006,4,14,Burdwood,30.5,8,,112,40,72,,,,,,,,
182,2006,4,17,Wicklow,,,,7,3,4,,,,,,,,
183,2006,4,22,Burdwood,30,,,50,3,47,,,,,,,,
184,2006,4,22,Glacier,,,,50,40,10,,,,,,,,
185,2006,4,25,Wicklow,31,8.7,,40,3,37,,,,,,,,
186,2006,4,27,Burdwood,30.5,8.5,,50,30,20,,,,,,,,
187,2006,4,28,Glacier,30,8.4,,50,35,15,,,,,,,,
188,2006,5,3,Wicklow,,9,,28,12,16,,,,,,,,
189,2006,5,4,Burdwood,28,11,,50,9,41,,,,,,,,
190,2006,5,4,Glacier,29,8.9,,50,45,5,,,,,,,,
191,2006,5,10,Glacier,,10.34,,50,38,12,,,,,,,,
192,2006,5,11,Burdwood,24,10.75,,50,6,44,,,,,,,,
193,2006,5,15,Wicklow,33,10,,50,22,28,,,,,,,,
194,2006,5,18,Glacier,30,12.5,,50,35,15,,,,,,,,
195,2006,5,19,Burdwood,26.5,13.1,,49,6,43,,,,,,,,
196,2006,5,22,Wicklow,29,11.25,,50,28,22,,,,,,,,
197,2006,5,25,Burdwood,26.5,10.75,,40,0,40,,,,,,,,
198,2006,5,27,Glacier,30,10,,50,10,40,,,,,,,,
199,2006,5,29,Wicklow,32,11.25,,50,11,39,,,,,,,,
200,2006,6,2,Burdwood,26,12.5,,46,5,41,,,,,,,,
201,2006,6,2,Glacier,23,12,,50,38,12,,,,,,,,
202,2006,6,6,Wicklow,24,12.5,,42,25,17,,,,,,,,
203,2006,6,9,Glacier,25,12,,49,35,14,,,,,,,,
204,2006,6,12,Wicklow,27,12,,16,1,15,,,,,,,,
205,2006,6,17,Burdwood,25,12.8,,50,7,43,,,,,,,,
206,2007,3,26,Glacier,31,7.7,,104,60,44,,,,,,,,
207,2007,4,7,Burdwood,30,8.3,,100,56,44,,,,,,,,
208,2007,4,17,Wicklow,30,7.75,,100,81,19,,,,,,,,
209,2007,4,18,Glacier,,,,100,96,4,,,,,,,,
210,2007,4,24,Burdwood,32,8.4,,51,51,0,,,,,,,,
211,2007,4,26,Wicklow,33,8.4,,99,53,46,,,,,,,,
212,2007,4,28,Glacier,,,,100,92,8,,,,,,,,
213,2007,5,2,Burdwood,,,,100,90,10,,,,,,,,
214,2007,5,4,Wicklow,,,,100,87,13,,,,,,,,
215,2007,5,10,Burdwood,21,10,,100,53,47,,,,,,,,
216,2007,5,10,Glacier,,,,100,95,5,,,,,,,,
217,2007,5,11,Wicklow,25,11.5,,100,79,21,,,,,,,,
218,2007,5,15,Burdwood,,,,100,81,19,,,,,,,,
219,2007,5,15,Wicklow,32,9,,98,98,0,,,,,,,,
220,2007,5,17,Glacier,,,,100,66,34,,,,,,,,
221,2007,5,23,Burdwood,,,,100,89,11,,,,,,,,
222,2007,5,23,Glacier,,,,98,74,24,,,,,,,,
223,2008,3,27,Glacier,31,7,,29,16,13,,,,,,,,
224,2008,4,3,Glacier,31,6.9,,92,74,18,,,,,,,,
225,2008,4,9,Glacier,30,7,,100,99,1,,,,,,,,
226,2008,4,24,Burdwood,30,8,,77,29,48,,,,,,,,
227,2008,4,24,Glacier,30,7.5,,100,99,1,,,,,,,,
228,2008,5,10,Glacier,24,10.5,,50,15,35,,,,,,,,
229,2008,5,17,Glacier,27,27,,50,50,0,,,,,,,,
230,2008,5,24,Glacier,9,27,,100,99,1,,,,,,,,
231,2008,5,24,Wicklow,27,12,,100,87,13,,,,,,,,
232,2008,5,25,Burdwood,25,10.5,,100,93,7,,,,,,,,
233,2008,5,28,Burdwood,26,10,,34,33,1,,,,,,,,
234,2008,5,28,Glacier,28,12.5,,98,93,5,,,,,,,,
235,2008,5,30,Wicklow,23,12,,101,98,3,,,,,,,,
236,2008,6,5,Burdwood,20,10,,96,87,9,,,,,,,,
237,2008,6,8,Glacier,0,0,,100,91,9,,,,,,,,
238,2008,6,8,Wicklow,28,9,,48,46,2,,,,,,,,
239,2008,6,15,Wicklow,0,0,,100,98,2,,,,,,,,
240,2008,6,21,Burdwood,23,10.5,,31,29,2,,,,,,,,
241,2008,6,21,Glacier,23,11,,94,87,7,,,,,,,,
242,2008,6,23,Wicklow,26,11,,13,11,2,,,,,,,,
243,2008,6,24,Burdwood,20,13.5,,72,71,1,,,,,,,,
244,2008,6,24,Glacier,20,12.5,,100,99,1,,,,,,,,
245,2008,6,28,Wicklow,24,13,,100,100,0,,,,,,,,
246,2008,7,3,Wicklow,0,0,,83,80,3,,,,,,,,
247,2008,7,4,Wicklow,30,10.5,,100,89,11,,,,,,,,
248,2008,7,5,Burdwood,25,11.5,,100,87,13,,,,,,,,
249,2008,7,18,Glacier,25,13,,66,59,7,,,,,,,,
250,2008,7,19,Wicklow,25,12,,100,94,6,,,,,,,,
251,2008,7,23,Wicklow,26,0,,72,36,36,,,,,,,,
252,2008,7,31,Glacier,24,11,,39,26,13,,,,,,,,
253,2009,5,11,Burdwood,28,,,104,49,55,,,,,,,,
254,2009,5,11,Glacier,28,,,100,91,9,,,,,,,,
255,2009,5,11,Wicklow,20,,,100,72,28,,,,,,,,
256,2009,5,19,Burdwood,32,9,,100,58,42,,,,,,,,
257,2009,5,19,Glacier,31,9,,100,77,23,,,,,,,,
258,2009,5,19,Wicklow,31,9,,99,49,50,,,,,,,,
259,2009,5,24,Burdwood,29,,,100,25,75,,,,,,,,
260,2009,5,24,Glacier,29,,,100,79,21,,,,,,,,
261,2009,5,24,Wicklow,30,,,99,40,58,,,,,,,,
262,2009,5,30,Wicklow,30,,,80,50,30,,,,,,,,
263,2009,6,1,Burdwood,25,,,100,50,50,,,,,,,,
264,2009,6,2,Glacier,30,11.5,,94,50,44,,,,,,,,
265,2009,6,9,Glacier,25,13,,100,62,38,,,,,,,,
266,2009,6,10,Wicklow,26,13,,100,80,20,,,,,,,,
267,2009,6,11,Burdwood,22,12,,100,49,51,,,,,,,,
268,2009,6,15,Wicklow,32,10,,57,50,7,,,,,,,,
269,2009,6,17,Burdwood,22,16,,100,49,51,,,,,,,,
270,2009,6,19,Glacier,17,15,,100,81,19,,,,,,,,
271,2009,6,20,Glacier,19,,,90,48,42,,,,,,,,
272,2009,6,26,Burdwood,19,13.5,,100,21,78,,,,,,,,
273,2009,6,26,Wicklow,29,10,,100,98,2,,,,,,,,
274,2009,7,3,Glacier,28,14,,84,44,40,,,,,,,,
275,2009,7,3,Wicklow,28,11,,99,85,14,,,,,,,,
276,2009,7,4,Burdwood,22,14,,72,22,50,,,,,,,,
277,2009,7,7,Glacier,25,12.5,,50,48,2,,,,,,,,
278,2009,7,7,Wicklow,26,12,,96,92,4,,,,,,,,
279,2009,7,16,Wicklow,,,,73,54,19,,,,,,,,
280,2009,7,20,Wicklow,27,11,,31,31,0,,,,,,,,
281,2009,7,30,Wicklow,,,,23,12,11,,,,,,,,
282,2010,3,31,Glacier,30,8,,60,30,30,,,,,,,,
283,2010,4,1,Burdwood,30,8,,60,30,30,,,,,,,,
284,2010,4,9,Burdwood,28,8,,60,30,30,,,,,,,,
285,2010,4,9,Glacier,29,7,,52,30,22,,,,,,,,
286,2010,4,9,Wicklow,28,8,,60,30,30,,,,,,,,
287,2010,4,16,Burdwood,30,8,,60,30,30,,,,,,,,
288,2010,4,16,Glacier,30,9,,58,30,28,,,,,,,,
289,2010,4,16,Wicklow,30,8,,47,30,17,,,,,,,,
290,2010,4,23,Burdwood,29,9,,61,31,30,,,,,,,,
291,2010,4,23,Glacier,29,,,38,30,8,,,,,,,,
292,2010,4,24,Wicklow,31,10,,60,31,29,,,,,,,,
293,2010,4,29,Wicklow,32,10,,60,30,30,,,,,,,,
294,2010,5,1,Burdwood,30,,,60,30,30,,,,,,,,
295,2010,5,1,Glacier,28,,,35,30,5,,,,,,,,
296,2010,5,6,Burdwood,28,11,,60,30,30,,1,,,,,2 sticklebacks,
297,2010,5,6,Glacier,30,10,,47,30,17,,0,,,,,4 sculpins,
298,2010,5,6,Wicklow,31,8,,35,30,5,,6,,,,,,
299,2010,5,14,Burdwood,27,10,,100,62,38,,2,,,,,1 shiner,
300,2010,5,14,Glacier,30,10,,100,69,31,,13,,,,,,
301,2010,5,14,Wicklow,30,10,,100,99,1,,3,,,,,1 sculpin,
302,2010,5,21,Burdwood,27,,,100,65,35,,4,,,,,1 coho,
303,2010,5,21,Glacier,29,9,,100,86,14,,7,,,,,sculpin,
304,2010,5,22,Glacier,26,10,,100,70,30,,2,,,,,"gunnel, 2 shrimp",
305,2010,5,27,Burdwood,26,11,,100,65,35,,0,,,,,"stickleback, kelp greenling, sculpin",
306,2010,5,27,Wicklow,31,9,,100,70,30,,1,,,,,none,
307,2010,5,28,Glacier,30,9,,100,67,33,,1,,,,,"gunnel, kelp greenling",
308,2010,6,4,Burdwood,23,11,,60,30,30,,5,,,,,4 coho,
309,2010,6,4,Glacier,26,11,,60,30,30,,0,,,,,none,
310,2010,6,4,Wicklow,31,10,,45,30,15,,7,,,,,shiner perch,
311,2010,6,13,Burdwood,22,12,,40,30,10,,2,,,,,"shiner, lumpsucker",
312,2010,6,13,Glacier,28,11,,33,30,3,,0,,,,,none,
313,2010,6,13,Wicklow,27,10,,30,30,0,,2,,,,,"shiners, decorator crab, 1 sandlance",
314,2011,4,1,Burdwood,29,7,350,100,96,4,0,0,99,1,,,"1 sand lance, 1 sculpin",
315,2011,4,1,Glacier,27,7,350,100,83,17,0,1,95,5,,,2 sculpin,
316,2011,4,8,Burdwood,32,8,650,100,59,41,0,1,95,5,,,,
317,2011,4,8,Glacier,30,8,700,100,57,43,0,0,95,5,,,1 sandlance,
318,2011,4,15,Glacier,30,7,7000,100,82,18,20,7,95,5,,,,
319,2011,4,16,Burdwood,29,8,250,100,50,50,0,0,60,40,,,2 sculpins,
320,2011,4,22,Burdwood,31,7,2000,100,50,50,0,0,60,40,,,,
321,2011,4,22,Glacier,30,7,1500,100,68,32,0,4,98,2,,,1 sand lance,
322,2011,4,29,Burdwood,27,9,250,100,55,45,0,0,60,40,,,"fish larvae, 2 silver spotted sculpin",
323,2011,4,29,Glacier,29,8,12000,100,50,50,0,1,95,5,,,"1 sandlance, 2 herring",
324,2011,5,6,Burdwood,28,8,750,100,50,50,0,11,60,40,,,"2 silverspotted sculpin, jellyfish, baby rockfish (photographed)",
325,2011,5,6,Glacier,29,8,1100,100,67,33,0,2,95,5,,,1 herring,
326,2011,5,6,Wicklow,29,8,650,100,50,50,0,13,70,30,,,"silverspotted sculpins, jellies, plenty of larval fish",
327,2011,5,12,Burdwood,27,8,550,100,50,50,0,0,60,40,,,"silver spotted sculpin, juvenile sandlance, larval fish, jellies",
328,2011,5,12,Glacier,28,8,800,100,50,50,0,0,80,20,,,"adult sandlance, jellies",
329,2011,5,12,Wicklow,27,8,130,100,63,37,0,0,70,30,,,"larval fish, baby herring",
330,2011,5,20,Burdwood,23,11,400,100,66,34,0,0,70,30,,,"sculpin, sandlance",
331,2011,5,20,Glacier,30,9,3000,100,52,48,0,0,80,20,,,0,
332,2011,5,20,Wicklow,27,11,200,100,67,33,0,0,80,20,,,"sculpin, crabs, 1000 pipefish, 3 sandlance, 2 herring, 10 kelp greenling",
333,2011,5,27,Burdwood,27,11,600,100,50,50,0,0,80,20,,,"3 coho, herring, stickleback, pipefish, silversided sculpin",
334,2011,5,27,Glacier,26,11,1500,100,85,15,0,2,99,1,,,"2 shiner perch, herring, greenling",
335,2011,5,27,Wicklow,27,11,300,100,76,24,0,2,90,10,,,"Herring, 1 pipe fish, greenlings, jellyfish",
336,2011,6,3,Burdwood,29,12,500,100,50,50,0,1,90,10,,,"perch, juvenile rockfish, herring",
337,2011,6,3,Glacier,29,14,400,100,98,2,0,0,99,1,,,"herring, sandlance",
338,2011,6,3,Wicklow,28,10,259,100,79,21,0,0,90,10,,,"herring, greenling, sandlance",
339,2011,6,9,Burdwood,24,12,500,100,53,47,0,0,80,20,,,"500 herring, 1 sockeye, pipefish, sculpin",
340,2011,6,9,Glacier,26,12,2000,100,85,15,0,0,99,1,,,,
341,2011,6,17,Burdwood,22,13,130,100,90,10,0,0,95,5,,,"10 coho, 5 herring, 3 shrimp, 1 shiner perch, jelly fish",
342,2011,6,17,Glacier,25,11,350,100,95,5,0,0,98,2,,,"100 herring, 10 sandlance, 2 stickleback",
343,2011,6,17,Wicklow,28,10,200,100,87,13,3,2,90,10,,,"20 coho (might have been large chum? Oval par marks centred on lateral line, white leading edge on anal fin), 15 herring",
344,2011,6,24,Burdwood,9,14,200,100,51,49,0,0,60,40,,,5 herring,
345,2011,6,24,Glacier,21,14,250,100,97,3,0,0,99,1,,,"20 herring, 10 shiner perch",
346,2011,6,24,Wicklow,22,12,250,100,83,17,0,0,90,10,,,"50 shiner perch, 10 coho, 5 rainbow perch, 1 large gunnel (10 cm), herring",
347,2012,4,7,Burdwood,30,8,200,100,22,78,0,0,90,10,,,"21 herring, 1 coho",
348,2012,4,7,Glacier,30,,300,66,58,8,0,0,99,1,,,20 stickleback,
349,2012,4,14,Burdwood,30,8,300,100,50,50,0,0,95,5,,,"30 herring, 10 shiner perch, 10 silver spotted sculpin, 1 stickleback, 1 tube snout",
350,2012,4,14,Glacier,30,7.5,950,100,50,50,3,3,3,2,,,,
351,2012,4,24,Burdwood,26,8,400,100,40,60,1,0,1,9,,,,
352,2012,4,24,Glacier,36,7,1500,100,49,51,1,0,4,1,,,,
353,2012,5,1,Burdwood,27,9,200,100,50,50,1,1,1,3,,,,
354,2012,5,1,Glacier,24,7,1500,100,61,39,0,0,97,3,,,,
355,2012,5,9,Burdwood,26,8,500,100,50,50,3,5,90,10,,,,
356,2012,5,9,Glacier,28,8,3000,100,50,50,0,2,75,25,,,"4 coho, 1 sandlance",
357,2012,5,9,Wicklow,28,7.5,250,73,49,24,0,4,80,20,,,"1KG, 1 sulpin",
358,2012,5,15,Burdwood,28,10.5,350,100,50,50,1,0,25,75,,,,
359,2012,5,15,Glacier,28,9.5,4000,95,50,45,0,0,98,2,,,,
360,2012,5,15,Wicklow,30,9,200,80,51,29,0,0,85,15,,,jellyfish,
361,2012,5,22,Burdwood,24,10.5,700,100,50,50,0,0,30,70,,,,
362,2012,5,22,Glacier,25,10.5,5000,93,50,43,,,95,5,,,"4 juvenile herring, couple surf perch",
363,2012,5,22,Wicklow,28,9.5,250,100,50,47,,,60,40,,,"6 kelp greenlings, approx 80 sand lances",
364,2012,5,29,Burdwood,18,12,600,100,51,49,,,,,,,"6 coho, herring",
365,2012,5,29,Glacier,18,12,10000,81,50,31,,,95,5,,,,
366,2012,5,29,Wicklow,28,9,300,61,51,9,,,95,5,,,"1 herring, 2 kelp greenling",
367,2012,6,6,Burdwood,32,12,,90,40,50,,,,,,,,
368,2012,6,6,Glacier,31,9,5000,81,50,31,,,95,5,,,herring,
369,2012,6,6,Wicklow,32,9.5,500,111,50,50,,,60,40,,,,
370,2012,6,11,Burdwood,24,,450,102,51,50,,,40,60,,,herring,
371,2012,6,11,Glacier,27,,700,64,50,14,,0,95,5,,,"stickleback, herring",
372,2012,6,11,Wicklow,27,12,600,114,51,52,,6,70,30,,,lots of herring (10-20cm),
373,2012,6,20,Burdwood,18,13,800,83,49,34,,1,70,30,,,"1 coho, lots herring",
